구별,인구,CCTV,위도,경도
송파구,673582,463,37.5144161,127.1060657
강서구,605068,81,37.5509103,126.8495742
노원구,551069,516,37.6540471,127.0563372
강남구,549255,932,37.517351,127.0474381
관악구,521685,613,37.4781285,126.9515024
은평구,487849,468,37.6027496,126.9292386
양천구,469945,467,37.5169508,126.8665644
성북구,449574,204,37.589366,127.016743
서초구,441539,398,37.483574,127.032661
구로구,439234,323,37.4954703,126.8876391
강동구,434992,377,37.5301756,127.1237721
중랑구,409058,109,37.60656,127.092624
동작구,407925,314,37.5124018,126.9394748
영등포구,403724,373,37.526344,126.896256
마포구,385032,379,37.5662001,126.9016437
광진구,369999,174,37.5385333,127.0823772
동대문구,366101,579,37.5744155,127.0397427
도봉구,342990,386,37.6687735,127.047071
강북구,324276,204,37.6397767,127.0255184
서대문구,322497,292,37.5791728,126.9367815
성동구,317197,265,37.5630725,127.0366688
금천구,252359,354,37.4518527,126.9020358
용산구,245087,398,37.5325896,126.9900429
종로구,163086,630,37.5727864,126.9791778
중구,135258,348,37.5637584,126.9975517
